sample	binmethod	binname	pipeline_y	group	tRNA_x	rna.16S_x	rna.23S_x	rna.5S_x	Completeness	Contamination	quality	user_genome	classification	fastani_reference	Bin	tRNA_y	Sample	rna.16S_y	rna.23S_y	rna.5S_y	pipeline	tRNA_compare	rna.16S_compare	rna.5S_compare	rna.23S_compare	accession	checkm_completeness	checkm_contamination	gtdb_genome_representative	gtdb_representative	gtdb_taxonomy	ncbi_assembly_level	ncbi_date	ncbi_rrna_count	ncbi_trna_count
B_PacBio_metaflye	MetaBAT2	bin.100	PacBio_metaflye	PacBio	56.0	4	4	4	97.99	1.01	complete	B_PacBio_metaflye+bin.100	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales_A;f__UBA1381;g__CAG-41;s__CAG-41 sp900066215	RS_GCF_003460745.1	GCF_003460745.1	43	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	4	PacBio_metaflye	1.302325581395349	4.0	1.0	4.0	RS_GCF_003460745.1	97.99	1.01	RS_GCF_003460745.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales_A;f__UBA1381;g__CAG-41;s__CAG-41 sp900066215	Scaffold	2018-8-31	7	52
B_PacBio_metaflye	MetaBAT2	bin.100	PacBio_metaflye	PacBio	56.0	4	4	4	97.99	1.01	complete	B_PacBio_metaflye+bin.100	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales_A;f__UBA1381;g__CAG-41;s__CAG-41 sp900066215	RS_GCF_003460745.1	GCF_003460745.1	43	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	4	PacBio_metaflye	1.302325581395349	4.0	1.0	4.0	RS_GCF_003460745.1	97.99	1.01	RS_GCF_003460745.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales_A;f__UBA1381;g__CAG-41;s__CAG-41 sp900066215	Scaffold	2018-8-31	7	52
A_PacBio_metaflye	bin3C	bin035	PacBio_metaflye	PacBio	45.0	4	4	4	82.21	0.34	medium-quality	A_PacBio_metaflye+bin035	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales_A;f__UBA1381;g__CAG-41;s__CAG-41 sp900066215	RS_GCF_003460745.1	GCF_003460745.1	43	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	4	PacBio_metaflye	1.0465116279069768	4.0	1.0	4.0	RS_GCF_003460745.1	97.99	1.01	RS_GCF_003460745.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales_A;f__UBA1381;g__CAG-41;s__CAG-41 sp900066215	Scaffold	2018-8-31	7	52
A_PacBio_metaflye	bin3C	bin035	PacBio_metaflye	PacBio	45.0	4	4	4	82.21	0.34	medium-quality	A_PacBio_metaflye+bin035	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales_A;f__UBA1381;g__CAG-41;s__CAG-41 sp900066215	RS_GCF_003460745.1	GCF_003460745.1	43	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	4	PacBio_metaflye	1.0465116279069768	4.0	1.0	4.0	RS_GCF_003460745.1	97.99	1.01	RS_GCF_003460745.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales_A;f__UBA1381;g__CAG-41;s__CAG-41 sp900066215	Scaffold	2018-8-31	7	52
A_PacBio_OPERA-MS	bin3C	bin0042	PacBio_OPERA-MS	mNGS+PacBio	52.0	3	3	3	97.99	1.01	complete	A_PacBio_OPERA-MS+bin0042	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales_A;f__UBA1381;g__CAG-41;s__CAG-41 sp900066215	RS_GCF_003460745.1	GCF_003460745.1	43	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	4	PacBio_OPERA-MS	1.2093023255813953	3.0	0.75	3.0	RS_GCF_003460745.1	97.99	1.01	RS_GCF_003460745.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales_A;f__UBA1381;g__CAG-41;s__CAG-41 sp900066215	Scaffold	2018-8-31	7	52
B_Nanopore_metaflye+polish	bin3C	bin014	Nanopore_metaflye	Nanopore	56.0	4	4	4	97.09	1.01	complete	B_Nanopore_metaflye+polish+bin014	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales_A;f__UBA1381;g__CAG-41;s__CAG-41 sp900066215	RS_GCF_003460745.1	GCF_003460745.1	43	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	4	Nanopore_metaflye	1.302325581395349	4.0	1.0	4.0	RS_GCF_003460745.1	97.99	1.01	RS_GCF_003460745.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales_A;f__UBA1381;g__CAG-41;s__CAG-41 sp900066215	Scaffold	2018-8-31	7	52
F_mNGS_metaSPAdes+polish	bin3C	bin0029	mNGS_metaSPAdes	mNGS	44.0	1	1	2	97.99	1.01	complete	F_mNGS_metaSPAdes+polish+bin0029	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales_A;f__UBA1381;g__CAG-41;s__CAG-41 sp900066215	RS_GCF_003460745.1	GCF_003460745.1	43	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	4	mNGS_metaSPAdes	1.0232558139534884	1.0	0.5	1.0	RS_GCF_003460745.1	97.99	1.01	RS_GCF_003460745.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales_A;f__UBA1381;g__CAG-41;s__CAG-41 sp900066215	Scaffold	2018-8-31	7	52
F_Nanopore_OPERA-MS+polish	bin3C	bin037	Nanopore_OPERA-MS	mNGS+Nanopore	44.0	1	1	2	97.99	1.01	complete	F_Nanopore_OPERA-MS+polish+bin037	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales_A;f__UBA1381;g__CAG-41;s__CAG-41 sp900066215	RS_GCF_003460745.1	GCF_003460745.1	43	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	4	Nanopore_OPERA-MS	1.0232558139534884	1.0	0.5	1.0	RS_GCF_003460745.1	97.99	1.01	RS_GCF_003460745.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales_A;f__UBA1381;g__CAG-41;s__CAG-41 sp900066215	Scaffold	2018-8-31	7	52
A_mNGS_metaSPAdes+polish	MetaBAT2	bin.187	mNGS_metaSPAdes	mNGS	23.0	0	0	0	62.66	0.0	medium-quality	A_mNGS_metaSPAdes+polish+bin.187	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066165	RS_GCF_003480145.1	GCF_003480145.1	57	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	2	mNGS_metaSPAdes	0.4035087719298245	0.0	0.0	0.0	RS_GCF_003480145.1	97.76	0.63	RS_GCF_003480145.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066165	Contig	2018-9-6	20	68
A_Nanopore_OPERA-MS+polish	MetaBAT2	bin.120	Nanopore_OPERA-MS	mNGS+Nanopore	39.0	0	0	0	66.46	0.63	medium-quality	A_Nanopore_OPERA-MS+polish+bin.120	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066165	RS_GCF_003480145.1	GCF_003480145.1	57	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	2	Nanopore_OPERA-MS	0.6842105263157895	0.0	0.0	0.0	RS_GCF_003480145.1	97.76	0.63	RS_GCF_003480145.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066165	Contig	2018-9-6	20	68
A_PacBio_metaflye	MetaBAT2	bin.59	PacBio_metaflye	PacBio	39.0	6	6	6	87.76	1.27	medium-quality	A_PacBio_metaflye+bin.59	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066165	RS_GCF_003480145.1	GCF_003480145.1	57	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	2	PacBio_metaflye	0.6842105263157895	6.0	3.0	6.0	RS_GCF_003480145.1	97.76	0.63	RS_GCF_003480145.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066165	Contig	2018-9-6	20	68
A_PacBio_metaflye	MetaBAT2	bin.59	PacBio_metaflye	PacBio	39.0	6	6	6	87.76	1.27	medium-quality	A_PacBio_metaflye+bin.59	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066165	RS_GCF_003480145.1	GCF_003480145.1	57	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	2	PacBio_metaflye	0.6842105263157895	6.0	3.0	6.0	RS_GCF_003480145.1	97.76	0.63	RS_GCF_003480145.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066165	Contig	2018-9-6	20	68
B_PacBio_OPERA-MS	MetaBAT2	bin.93	PacBio_OPERA-MS	mNGS+PacBio	27.0	3	3	3	79.11	4.43	medium-quality	B_PacBio_OPERA-MS+bin.93	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066165	RS_GCF_003480145.1	GCF_003480145.1	57	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	2	PacBio_OPERA-MS	0.4736842105263157	3.0	1.5	3.0	RS_GCF_003480145.1	97.76	0.63	RS_GCF_003480145.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066165	Contig	2018-9-6	20	68
A_mNGS_metaSPAdes+polish	bin3C	bin0014	mNGS_metaSPAdes	mNGS	43.0	0	0	0	99.37	0.06	complete	A_mNGS_metaSPAdes+polish+bin0014	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066165	RS_GCF_003480145.1	GCF_003480145.1	57	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	2	mNGS_metaSPAdes	0.7543859649122807	0.0	0.0	0.0	RS_GCF_003480145.1	97.76	0.63	RS_GCF_003480145.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066165	Contig	2018-9-6	20	68
A_Nanopore_OPERA-MS+polish	bin3C	bin0016	Nanopore_OPERA-MS	mNGS+Nanopore	46.0	1	1	1	99.37	0.63	complete	A_Nanopore_OPERA-MS+polish+bin0016	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066165	RS_GCF_003480145.1	GCF_003480145.1	57	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	2	Nanopore_OPERA-MS	0.8070175438596491	1.0	0.5	1.0	RS_GCF_003480145.1	97.76	0.63	RS_GCF_003480145.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066165	Contig	2018-9-6	20	68
A_PacBio_metaflye	bin3C	bin012	PacBio_metaflye	PacBio	51.0	7	7	7	91.56	0.63	complete	A_PacBio_metaflye+bin012	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066165	RS_GCF_003480145.1	GCF_003480145.1	57	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	2	PacBio_metaflye	0.8947368421052632	7.0	3.5	7.0	RS_GCF_003480145.1	97.76	0.63	RS_GCF_003480145.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066165	Contig	2018-9-6	20	68
A_PacBio_metaflye	bin3C	bin012	PacBio_metaflye	PacBio	51.0	7	7	7	91.56	0.63	complete	A_PacBio_metaflye+bin012	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066165	RS_GCF_003480145.1	GCF_003480145.1	57	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	2	PacBio_metaflye	0.8947368421052632	7.0	3.5	7.0	RS_GCF_003480145.1	97.76	0.63	RS_GCF_003480145.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066165	Contig	2018-9-6	20	68
A_PacBio_OPERA-MS	bin3C	bin0018	PacBio_OPERA-MS	mNGS+PacBio	55.0	6	6	6	99.37	0.06	complete	A_PacBio_OPERA-MS+bin0018	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066165	RS_GCF_003480145.1	GCF_003480145.1	57	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	2	PacBio_OPERA-MS	0.9649122807017544	6.0	3.0	6.0	RS_GCF_003480145.1	97.76	0.63	RS_GCF_003480145.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066165	Contig	2018-9-6	20	68
F_Nanopore_metaflye+polish	bin3C	bin009	Nanopore_metaflye	Nanopore	42.0	6	6	6	69.3	3.32	medium-quality	F_Nanopore_metaflye+polish+bin009	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066165	RS_GCF_003480145.1	GCF_003480145.1	57	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	2	Nanopore_metaflye	0.7368421052631579	6.0	3.0	6.0	RS_GCF_003480145.1	97.76	0.63	RS_GCF_003480145.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066165	Contig	2018-9-6	20	68
A_mNGS_metaSPAdes+polish	MetaBAT2	bin.188	mNGS_metaSPAdes	mNGS	39.0	0	0	0	98.39	0.0	complete	A_mNGS_metaSPAdes+polish+bin.188	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	RS_GCF_000156175.1	GCF_000156175.1	51	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	2	4	5	mNGS_metaSPAdes	0.7647058823529411	0.0	0.0	0.0	RS_GCF_000156175.1	99.19	0.0	RS_GCF_000156175.1	t	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	Scaffold	2009-6-22	10	51
A_Nanopore_OPERA-MS+polish	MetaBAT2	bin.142	Nanopore_OPERA-MS	mNGS+Nanopore	39.0	0	0	0	98.39	0.0	complete	A_Nanopore_OPERA-MS+polish+bin.142	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	RS_GCF_000156175.1	GCF_000156175.1	51	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	2	4	5	Nanopore_OPERA-MS	0.7647058823529411	0.0	0.0	0.0	RS_GCF_000156175.1	99.19	0.0	RS_GCF_000156175.1	t	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	Scaffold	2009-6-22	10	51
A_PacBio_metaflye	MetaBAT2	bin.6	PacBio_metaflye	PacBio	47.0	3	3	3	83.06	0.81	medium-quality	A_PacBio_metaflye+bin.6	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	RS_GCF_000156175.1	GCF_000156175.1	51	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	2	4	5	PacBio_metaflye	0.9215686274509804	1.5	0.6	0.75	RS_GCF_000156175.1	99.19	0.0	RS_GCF_000156175.1	t	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	Scaffold	2009-6-22	10	51
A_PacBio_metaflye	MetaBAT2	bin.6	PacBio_metaflye	PacBio	47.0	3	3	3	83.06	0.81	medium-quality	A_PacBio_metaflye+bin.6	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	RS_GCF_000156175.1	GCF_000156175.1	51	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	2	4	5	PacBio_metaflye	0.9215686274509804	1.5	0.6	0.75	RS_GCF_000156175.1	99.19	0.0	RS_GCF_000156175.1	t	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	Scaffold	2009-6-22	10	51
A_PacBio_OPERA-MS	MetaBAT2	bin.27	PacBio_OPERA-MS	mNGS+PacBio	52.0	2	2	2	100.0	1.17	complete	A_PacBio_OPERA-MS+bin.27	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	RS_GCF_000156175.1	GCF_000156175.1	51	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	2	4	5	PacBio_OPERA-MS	1.0196078431372548	1.0	0.4	0.5	RS_GCF_000156175.1	99.19	0.0	RS_GCF_000156175.1	t	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	Scaffold	2009-6-22	10	51
A_mNGS_metaSPAdes+polish	bin3C	bin0052	mNGS_metaSPAdes	mNGS	39.0	0	0	0	100.0	0.0	complete	A_mNGS_metaSPAdes+polish+bin0052	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	RS_GCF_000156175.1	GCF_000156175.1	51	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	2	4	5	mNGS_metaSPAdes	0.7647058823529411	0.0	0.0	0.0	RS_GCF_000156175.1	99.19	0.0	RS_GCF_000156175.1	t	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	Scaffold	2009-6-22	10	51
A_Nanopore_OPERA-MS+polish	bin3C	bin0055	Nanopore_OPERA-MS	mNGS+Nanopore	39.0	0	0	0	100.0	0.0	complete	A_Nanopore_OPERA-MS+polish+bin0055	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	RS_GCF_000156175.1	GCF_000156175.1	51	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	2	4	5	Nanopore_OPERA-MS	0.7647058823529411	0.0	0.0	0.0	RS_GCF_000156175.1	99.19	0.0	RS_GCF_000156175.1	t	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	Scaffold	2009-6-22	10	51
A_PacBio_metaflye	bin3C	bin040	PacBio_metaflye	PacBio	52.0	3	3	3	100.0	0.81	complete	A_PacBio_metaflye+bin040	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	RS_GCF_000156175.1	GCF_000156175.1	51	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	2	4	5	PacBio_metaflye	1.0196078431372548	1.5	0.6	0.75	RS_GCF_000156175.1	99.19	0.0	RS_GCF_000156175.1	t	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	Scaffold	2009-6-22	10	51
A_PacBio_metaflye	bin3C	bin040	PacBio_metaflye	PacBio	52.0	3	3	3	100.0	0.81	complete	A_PacBio_metaflye+bin040	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	RS_GCF_000156175.1	GCF_000156175.1	51	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	2	4	5	PacBio_metaflye	1.0196078431372548	1.5	0.6	0.75	RS_GCF_000156175.1	99.19	0.0	RS_GCF_000156175.1	t	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	Scaffold	2009-6-22	10	51
A_PacBio_OPERA-MS	bin3C	bin0058	PacBio_OPERA-MS	mNGS+PacBio	52.0	2	2	2	100.0	1.17	complete	A_PacBio_OPERA-MS+bin0058	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	RS_GCF_000156175.1	GCF_000156175.1	51	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	2	4	5	PacBio_OPERA-MS	1.0196078431372548	1.0	0.4	0.5	RS_GCF_000156175.1	99.19	0.0	RS_GCF_000156175.1	t	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	Scaffold	2009-6-22	10	51
A_mNGS_metaSPAdes+polish	MetaBAT2	bin.194	mNGS_metaSPAdes	mNGS	22.0	0	0	0	84.58	0.0	medium-quality	A_mNGS_metaSPAdes+polish+bin.194	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp900541315	GB_GCA_900541315.1	GCA_900541315.1	8	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	0	0	0	mNGS_metaSPAdes	2.75	1.0	1.0	1.0	GB_GCA_900541315.1	98.94	0.63	GB_GCA_900541315.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp900541315	Contig	2019-01-29	0	0
A_mNGS_metaSPAdes+polish	bin3C	bin0020	mNGS_metaSPAdes	mNGS	27.0	0	0	0	93.55	2.37	complete	A_mNGS_metaSPAdes+polish+bin0020	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp900541315	GB_GCA_900541315.1	GCA_900541315.1	8	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	0	0	0	mNGS_metaSPAdes	3.375	1.0	1.0	1.0	GB_GCA_900541315.1	98.94	0.63	GB_GCA_900541315.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp900541315	Contig	2019-01-29	0	0
A_Nanopore_OPERA-MS+polish	bin3C	bin0017	Nanopore_OPERA-MS	mNGS+Nanopore	38.0	3	4	1	87.0	9.09	medium-quality	A_Nanopore_OPERA-MS+polish+bin0017	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp900541315	GB_GCA_900541315.1	GCA_900541315.1	8	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	0	0	0	Nanopore_OPERA-MS	4.75	1.0	1.0	1.0	GB_GCA_900541315.1	98.94	0.63	GB_GCA_900541315.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp900541315	Contig	2019-01-29	0	0
A_PacBio_metaflye	bin3C	bin018	PacBio_metaflye	PacBio	58.0	6	6	6	88.62	1.27	medium-quality	A_PacBio_metaflye+bin018	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp900541315	GB_GCA_900541315.1	GCA_900541315.1	8	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	0	0	0	PacBio_metaflye	7.25	1.0	1.0	1.0	GB_GCA_900541315.1	98.94	0.63	GB_GCA_900541315.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp900541315	Contig	2019-01-29	0	0
A_PacBio_metaflye	bin3C	bin018	PacBio_metaflye	PacBio	58.0	6	6	6	88.62	1.27	medium-quality	A_PacBio_metaflye+bin018	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp900541315	GB_GCA_900541315.1	GCA_900541315.1	8	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	0	0	0	PacBio_metaflye	7.25	1.0	1.0	1.0	GB_GCA_900541315.1	98.94	0.63	GB_GCA_900541315.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp900541315	Contig	2019-01-29	0	0
A_mNGS_metaSPAdes+polish	MetaBAT2	bin.26	mNGS_metaSPAdes	mNGS	31.0	0	0	0	97.49	0.0	complete	A_mNGS_metaSPAdes+polish+bin.26	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio fairfieldensis	RS_GCF_001553605.1	GCF_001553605.1	56	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	3	3	3	mNGS_metaSPAdes	0.5535714285714286	0.0	0.0	0.0	RS_GCF_001553605.1	99.41	0.0	RS_GCF_001553605.1	t	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio fairfieldensis	Complete Genome	2016-2-9	9	54
